coin,horizon,seed,sharpe_har,sharpe_lstm,sharpe_bh,delta_sharpe_lstm_vs_har,lw_se,t_stat,mse_har,mse_lstm,mse_reduction_pct,loss_fn,n_obs,lstm_preds,har_preds,dm_stat,dm_pvalue,mean_loss_diff,dm_verdict
BTC-USD,1,0,0.752604310359194,0.7637854548539696,0.5376449648847917,0.011181144494775697,0.0008896231898545727,12.568404940751922,0.8876766414630621,0.8496724132542411,-4.281314437449058,mse,1890,1890,1890,-2.1813789727711623,0.02927832101491812,-0.03800422820882079,BEATS baseline
BTC-USD,1,1,0.752604310359194,0.7647176304529636,0.5376449648847917,0.012113320093769642,0.0008905127493192854,13.602635226760261,0.8876766414630621,0.8514804829921154,-4.077628809888301,mse,1890,1890,1890,-1.8925424205549284,0.05857151038037589,-0.03619615847094666,INCONCLUSIVE
BTC-USD,1,7,0.752604310359194,0.7651645094045308,0.5376449648847917,0.012560199045336895,0.0008605905493688069,14.59486053448887,0.8876766414630621,0.8408330159343987,-5.277104673099888,mse,1890,1890,1890,-2.4205465511174995,0.01559095348138273,-0.04684362552866332,BEATS baseline
BTC-USD,1,42,0.752604310359194,0.7723622955142014,0.5376449648847917,0.019757985155007485,0.0009480269361957841,20.84116431785343,0.8876766414630621,0.8632440983709524,-2.752414781562822,mse,1890,1890,1890,-1.1629511144419806,0.24499622549982814,-0.024432543092109765,INCONCLUSIVE
BTC-USD,5,0,0.8489380275774776,0.8489544133132709,0.5484174747277581,1.638573579332281e-05,0.0010275661554586106,0.015946161428418915,0.5219741587277243,0.41856545916752047,-19.81107643571003,mse,1870,1870,1870,-3.648034967750529,0.00027149761133493655,-0.10340869956020377,BEATS baseline
BTC-USD,5,1,0.8489380275774776,0.8607736726880741,0.5484174747277581,0.011835645110596538,0.0009276653374792537,12.758529000078362,0.5219741587277243,0.4162048743378668,-20.263318139668606,mse,1870,1870,1870,-3.9880675820514266,6.917948820195363e-05,-0.10576928438985748,BEATS baseline
BTC-USD,5,7,0.8489380275774776,0.855102908755407,0.5484174747277581,0.006164881177929349,0.0010578717112077823,5.82762646227759,0.5219741587277243,0.4780624033677662,-8.412630132301954,mse,1870,1870,1870,-1.0265333041339357,0.3047731088814629,-0.04391175535995811,INCONCLUSIVE
BTC-USD,5,42,0.8489380275774776,0.8619935893513124,0.5484174747277581,0.013055561773834823,0.0011108929736901205,11.752312853746272,0.5219741587277243,0.4413133424573774,-15.453028645508441,mse,1870,1870,1870,-2.7437478134785644,0.006132255479157855,-0.0806608162703469,BEATS baseline
BTC-USD,10,0,0.8375529843011373,0.8489440029631491,0.60241085270662,0.011391018662011754,0.001102395206601637,10.332971872335097,0.5706841531937791,0.41690833162467344,-26.94587202194314,mse,1845,1845,1845,-3.7927662760404632,0.00015377802021587783,-0.1537758215691056,BEATS baseline
BTC-USD,10,1,0.8375529843011373,0.853371471408272,0.60241085270662,0.015818487107134627,0.0014386376920305498,10.995462717793659,0.5706841531937791,0.4121430367895186,-27.780886417995028,mse,1845,1845,1845,-3.8042116562624475,0.0001468925844276825,-0.15854111640426044,BEATS baseline
