family,instance_id,heuristic,solved,valid,nodes,seconds,inference_seconds
coloring,coloring-08,activity,True,True,27,0.011061399985919707,0.0
coloring,coloring-09,mrv,True,True,25,0.01087790000019595,0.0
coloring,coloring-09,max_degree,True,True,30,0.01827210000192281,0.0
coloring,coloring-09,dom_wdeg,True,True,25,0.01682489999802783,0.0
coloring,coloring-09,activity,True,True,25,0.008428300003288314,0.0
coloring,coloring-10,mrv,True,True,26,0.008948699993197806,0.0
coloring,coloring-10,max_degree,True,True,26,0.00871989999723155,0.0
coloring,coloring-10,dom_wdeg,True,True,26,0.0250992000073893,0.0
coloring,coloring-10,activity,True,True,26,0.02744580000580754,0.0
coloring,coloring-11,mrv,True,True,27,0.033777399992686696,0.0
coloring,coloring-11,max_degree,True,True,27,0.023134899995056912,0.0
coloring,coloring-11,dom_wdeg,True,True,27,0.02140529999451246,0.0
coloring,coloring-11,activity,True,True,27,0.033488500004750676,0.0
latin,latin-00,mrv,True,True,16,0.014081000001169741,0.0
latin,latin-00,max_degree,True,True,16,0.009025000006658956,0.0
latin,latin-00,dom_wdeg,True,True,16,0.012459800011129119,0.0
latin,latin-00,activity,True,True,16,0.004168200001004152,0.0
latin,latin-01,mrv,True,True,25,0.009356599999591708,0.0
latin,latin-01,max_degree,True,True,25,0.01133490000211168,0.0
latin,latin-01,dom_wdeg,True,True,25,0.01810470000782516,0.0
latin,latin-01,activity,True,True,25,0.010341100001824088,0.0
latin,latin-02,mrv,True,True,36,0.023058599996147677,0.0
latin,latin-02,max_degree,True,True,36,0.024665100005222484,0.0
latin,latin-02,dom_wdeg,True,True,36,0.21297909998975229,0.0
latin,latin-02,activity,True,True,36,0.02068400000280235,0.0
latin,latin-03,mrv,True,True,49,0.04857369999808725,0.0
latin,latin-03,max_degree,True,True,49,0.04051930000423454,0.0
latin,latin-03,dom_wdeg,True,True,49,0.09947909999755211,0.0
latin,latin-03,activity,True,True,49,0.03731470000639092,0.0
latin,latin-04,mrv,True,True,16,0.007323300000280142,0.0
latin,latin-04,max_degree,True,True,16,0.005241599996224977,0.0
latin,latin-04,dom_wdeg,True,True,16,0.013569399990956299,0.0
latin,latin-04,activity,True,True,16,0.0048544000019319355,0.0
latin,latin-05,mrv,True,True,25,0.01148399998783134,0.0
latin,latin-05,max_degree,True,True,25,0.01362919999519363,0.0
latin,latin-05,dom_wdeg,True,True,25,0.028749500008416362,0.0
latin,latin-05,activity,True,True,25,0.013963200006401166,0.0
latin,latin-06,mrv,True,True,36,0.022761300002457574,0.0
latin,latin-06,max_degree,True,True,36,0.020544600003631786,0.0
latin,latin-06,dom_wdeg,True,True,36,0.026741099994978867,0.0
latin,latin-06,activity,True,True,36,0.04804530000546947,0.0
latin,latin-07,mrv,True,True,49,0.04310029999760445,0.0
latin,latin-07,max_degree,True,True,49,0.10464689999935217,0.0
latin,latin-07,dom_wdeg,True,True,49,0.10663510000449605,0.0
latin,latin-07,activity,True,True,49,0.0998152999964077,0.0
latin,latin-08,mrv,True,True,16,0.0043769000039901584,0.0
latin,latin-08,max_degree,True,True,16,0.005994499995722435,0.0
latin,latin-08,dom_wdeg,True,True,16,0.01638729999831412,0.0
