family,instance_id,node_id,candidate,domain_size,domain_ratio,degree,degree_ratio,weighted_degree,activity,dom_wdeg,progress,neighbor_domain_min,neighbor_domain_mean,neighbor_domain_max,label
queens,queens-8,queens-8:7,q4,1.0,0.125,3.0,0.42857142857142855,3.0,15.0,0.3333333333333333,0.5,1.0,1.0,1.0,1
queens,queens-8,queens-8:7,q5,1.0,0.125,3.0,0.42857142857142855,3.0,15.0,0.3333333333333333,0.5,1.0,1.0,1.0,0
queens,queens-8,queens-8:7,q6,1.0,0.125,3.0,0.42857142857142855,3.0,15.0,0.3333333333333333,0.5,1.0,1.0,1.0,0
queens,queens-8,queens-8:7,q7,1.0,0.125,3.0,0.42857142857142855,3.0,15.0,0.3333333333333333,0.5,1.0,1.0,1.0,0
queens,queens-8,queens-8:8,q5,1.0,0.125,2.0,0.2857142857142857,2.0,15.0,0.5,0.625,1.0,1.0,1.0,1
queens,queens-8,queens-8:8,q6,1.0,0.125,2.0,0.2857142857142857,2.0,15.0,0.5,0.625,1.0,1.0,1.0,0
queens,queens-8,queens-8:8,q7,1.0,0.125,2.0,0.2857142857142857,2.0,15.0,0.5,0.625,1.0,1.0,1.0,0
queens,queens-8,queens-8:9,q6,1.0,0.125,1.0,0.14285714285714285,1.0,15.0,1.0,0.75,1.0,1.0,1.0,1
queens,queens-8,queens-8:9,q7,1.0,0.125,1.0,0.14285714285714285,1.0,15.0,1.0,0.75,1.0,1.0,1.0,0
queens,queens-9,queens-9:1,q0,9.0,1.0,8.0,1.0,8.0,0.0,1.125,0.0,9.0,9.0,9.0,1
queens,queens-9,queens-9:1,q1,9.0,1.0,8.0,1.0,8.0,0.0,1.125,0.0,9.0,9.0,9.0,0
queens,queens-9,queens-9:1,q2,9.0,1.0,8.0,1.0,8.0,0.0,1.125,0.0,9.0,9.0,9.0,0
queens,queens-9,queens-9:1,q3,9.0,1.0,8.0,1.0,8.0,0.0,1.125,0.0,9.0,9.0,9.0,0
queens,queens-9,queens-9:1,q4,9.0,1.0,8.0,1.0,8.0,0.0,1.125,0.0,9.0,9.0,9.0,0
queens,queens-9,queens-9:1,q5,9.0,1.0,8.0,1.0,8.0,0.0,1.125,0.0,9.0,9.0,9.0,0
queens,queens-9,queens-9:1,q6,9.0,1.0,8.0,1.0,8.0,0.0,1.125,0.0,9.0,9.0,9.0,0
queens,queens-9,queens-9:1,q7,9.0,1.0,8.0,1.0,8.0,0.0,1.125,0.0,9.0,9.0,9.0,0
queens,queens-9,queens-9:1,q8,9.0,1.0,8.0,1.0,8.0,0.0,1.125,0.0,9.0,9.0,9.0,0
queens,queens-9,queens-9:2,q1,7.0,0.7777777777777778,7.0,0.875,7.0,1.0,1.0,0.1111111111111111,7.0,7.0,7.0,1
