family,instance_id,heuristic,solved,valid,nodes,seconds,inference_seconds,split,model_seed
coloring,coloring-09,mrv,True,True,25,0.01087790000019595,0.0,grouped_instance_split,42
coloring,coloring-10,learned_policy,True,True,26,0.09741740000026766,0.0886564999964321,grouped_instance_split,42
coloring,coloring-10,mrv,True,True,26,0.008948699993197806,0.0,grouped_instance_split,42
coloring,coloring-11,learned_policy,True,True,27,0.12339570000767708,0.112456100032432,grouped_instance_split,42
coloring,coloring-11,mrv,True,True,27,0.033777399992686696,0.0,grouped_instance_split,42
latin,latin-08,learned_policy,True,True,16,0.08444089999829885,0.07904010002675932,grouped_instance_split,42
latin,latin-08,mrv,True,True,16,0.0043769000039901584,0.0,grouped_instance_split,42
latin,latin-09,learned_policy,True,True,25,0.11183570000866894,0.10057840001536533,grouped_instance_split,42
latin,latin-09,mrv,True,True,25,0.016046600008849055,0.0,grouped_instance_split,42
latin,latin-10,learned_policy,True,True,36,0.1552759999904083,0.13328079994244035,grouped_instance_split,42
latin,latin-10,mrv,True,True,36,0.034466500001144595,0.0,grouped_instance_split,42
latin,latin-11,learned_policy,True,True,49,0.20976470000459813,0.1680824000213761,grouped_instance_split,42
latin,latin-11,mrv,True,True,49,0.06572490000689868,0.0,grouped_instance_split,42
queens,queens-16,learned_policy,True,True,17,0.08539269999891985,0.06398119995719753,grouped_instance_split,71
queens,queens-16,mrv,True,True,16,0.01656409999122843,0.0,grouped_instance_split,71
queens,queens-17,learned_policy,True,True,20,0.13006290000339504,0.10288260005472694,grouped_instance_split,71
queens,queens-17,mrv,True,True,22,0.05113599999458529,0.0,grouped_instance_split,71
queens,queens-18,learned_policy,True,True,24,0.13319840001349803,0.094448799995007,grouped_instance_split,71
queens,queens-18,mrv,True,True,18,0.03602700000919867,0.0,grouped_instance_split,71
queens,queens-19,learned_policy,True,True,20,0.13530270000046585,0.10099270001228433,grouped_instance_split,71
queens,queens-19,mrv,True,True,22,0.03753580000193324,0.0,grouped_instance_split,71
coloring,coloring-08,learned_policy,True,True,25,0.09664329999941401,0.0874133999896003,grouped_instance_split,71
coloring,coloring-08,mrv,True,True,27,0.008589099990786053,0.0,grouped_instance_split,71
coloring,coloring-09,learned_policy,True,True,25,0.12830209999810904,0.11735969998699147,grouped_instance_split,71
coloring,coloring-09,mrv,True,True,25,0.01087790000019595,0.0,grouped_instance_split,71
coloring,coloring-10,learned_policy,True,True,26,0.13254730000335258,0.12251329996797722,grouped_instance_split,71
coloring,coloring-10,mrv,True,True,26,0.008948699993197806,0.0,grouped_instance_split,71
coloring,coloring-11,learned_policy,True,True,27,0.12994530001014937,0.11863119999179617,grouped_instance_split,71
coloring,coloring-11,mrv,True,True,27,0.033777399992686696,0.0,grouped_instance_split,71
latin,latin-08,learned_policy,True,True,16,0.06614830000034999,0.06108160001167562,grouped_instance_split,71
latin,latin-08,mrv,True,True,16,0.0043769000039901584,0.0,grouped_instance_split,71
latin,latin-09,learned_policy,True,True,25,0.09987179999006912,0.08915899995190557,grouped_instance_split,71
latin,latin-09,mrv,True,True,25,0.016046600008849055,0.0,grouped_instance_split,71
