coin,horizon,seed,sharpe_har,sharpe_lstm,sharpe_bh,delta_sharpe_lstm_vs_har,lw_se,t_stat,mse_har,mse_lstm,mse_reduction_pct,loss_fn,n_obs,lstm_preds,har_preds,dm_stat,dm_pvalue,mean_loss_diff,dm_verdict
BTC-USD,1,0,0.752604310359194,0.7703708523880411,0.5376449648847917,0.0177665420288472,0.0008026999597298852,22.133478161411368,0.8876766414630621,0.8535013001717755,-3.849976409761001,linear,1890,1890,1890,9.097861549739807,0.0,0.16268291003604476,BEATEN BY baseline
BTC-USD,1,1,0.752604310359194,0.7519767283622418,0.5376449648847917,-0.0006275819969521201,0.0010395886807810432,-0.6036829840053833,0.8876766414630621,0.8637174552407556,-2.6990894097221227,linear,1890,1890,1890,13.960647132217254,0.0,0.221989630108675,BEATEN BY baseline
BTC-USD,1,7,0.752604310359194,0.7669817175932975,0.5376449648847917,0.014377407234103523,0.0008852174437360638,16.241667327999792,0.8876766414630621,0.9264381995217078,4.366630397614063,linear,1890,1890,1890,4.658407134673737,3.4090646869877617e-06,0.1138446127622979,BEATEN BY baseline
BTC-USD,1,42,0.752604310359194,0.762193249578534,0.5376449648847917,0.00958893921934001,0.0010090757398887606,9.502695229197645,0.8876766414630621,0.9198743611242595,3.6271901452908892,linear,1890,1890,1890,5.839181690902225,6.161325449838273e-09,0.145881299210491,BEATEN BY baseline
BTC-USD,5,0,0.8489380275774776,0.8538481618824724,0.5484174747277581,0.004910134304994762,0.001007224415519944,4.874915887002282,0.5219741587277243,0.4236801179930598,-18.831208229589258,linear,1870,1870,1870,13.896834767757163,0.0,0.2912604226599211,BEATEN BY baseline
BTC-USD,5,1,0.8489380275774776,0.8572666576450748,0.5484174747277581,0.00832863006759721,0.0008230899717832408,10.118735925737337,0.5219741587277243,0.4665399140119467,-10.620112852117956,linear,1870,1870,1870,12.9830066215172,0.0,0.31526152148652836,BEATEN BY baseline
BTC-USD,5,7,0.8489380275774776,0.8451012403595196,0.5484174747277581,-0.003836787217957993,0.001032983311807794,-3.7142780276317766,0.5219741587277243,0.4823402175481833,-7.593084928983079,linear,1870,1870,1870,13.680673391648705,0.0,0.31534684167875315,BEATEN BY baseline
BTC-USD,5,42,0.8489380275774776,0.8350474214052162,0.5484174747277581,-0.013890606172261455,0.0009865721205223378,-14.07966623353102,0.5219741587277243,0.43666351284132215,-16.34384470187968,linear,1870,1870,1870,14.757478793961528,0.0,0.3182628554270037,BEATEN BY baseline
BTC-USD,10,0,0.8375529843011373,0.8289423367411575,0.60241085270662,-0.008610647559979867,0.0012055715485930166,-7.142377878798711,0.5706841531937791,0.4563078362216923,-20.041964777187292,linear,1845,1845,1845,15.45834825948426,0.0,0.39665277515240815,BEATEN BY baseline
BTC-USD,10,1,0.8375529843011373,0.82712163788115,0.60241085270662,-0.01043134641998733,0.00134562280873983,-7.75205826791554,0.5706841531937791,0.4922790758946435,-13.73878648291688,linear,1845,1845,1845,14.17246183592393,0.0,0.39117972302160303,BEATEN BY baseline
BTC-USD,10,7,0.8375529843011373,0.8655512226866213,0.60241085270662,0.027998238385483987,0.001275685625241439,21.94760043657698,0.5706841531937791,0.44753223065883424,-21.57969900613797,linear,1845,1845,1845,17.72343350290006,0.0,0.404803347011711,BEATEN BY baseline
BTC-USD,10,42,0.8375529843011373,0.8517766340471252,0.60241085270662,0.014223649745987887,0.0012344423419500203,11.522328149826029,0.5706841531937791,0.42743898279618187,-25.100604177624238,linear,1845,1845,1845,13.873695540079911,0.0,0.324728070112244,BEATEN BY baseline
